!System;X;Y;3025
Aalzorg;583,881;256,931;No record
Acoma;224,416;-62,259;No record
Adler;155,257;-210,669;No record
Finnalon;55,145;-187,635;No record
Aldrecht;150,833;88,192;No record
Alktral;724,382;250,530;No record
Ammon (OA);624,274;213,175;No record
Amu Darya;33,408;-338,234;No record
Apinzel;-447,893;113,685;No record
Arcadia (FS);253,738;-88,601;No record
Armstrong;-488,302;12,607;No record
Avranches;324,654;102,398;No record
Bannerhoft;550,561;285,392;No record
Bartrock;590,654;-148,154;No record
Beckars;-510,097;128,988;No record
Beils;155,176;190,344;No record
Bhykov;70,051;-228,303;No record
Boara;-310,769;481,440;No record
Bossangoa;731,853;277,423;No record
Bougie;-505,773;215,463;No record
Boulsi;778,124;189,993;No record
Braum;103,719;-315,560;No record
Burnt Rock;-328,509;191,528;No record
Carmelita;749,431;237,950;No record
Ceiba;720,200;266,605;No record
Chaumont;360,585;17,213;No record
Chita;-489,077;290,188;No record
Chota;186,624;-21,950;No record
Christiania;17,531;366,005;No record
Cryfder;-153,289;493,887;No record
Culmia;544,081;240,757;No record
Custozza;-544,644;355,231;No record
Daol;146,776;-335,259;No record
Ddraig;750,889;151,599;No record
Desolate Plains;207,010;-361,318;No record
Dichell;-267,351;514,625;No record
Dirkel;-110,190;522,420;No record
Dove;33,666;178,549;No record
Bob;440,689;243,842;No record
EC821-387D;-204,829;1.731,411;No record
Ejeda;734,348;140,461;No record
Epsilon Pegasus;404,688;601,383;ComStar
False Dawn;632,695;288,309;No record
Fasa (system);-144,517;1.624,367;No record
Finmark;-405,348;332,888;No record
Fredotto;-171,593;561,806;No record
Gamlestolen;601,166;-103,713;No record
Gardnaus;118,314;-324,250;No record
Gingeria;-544,585;151,638;No record
Givrodat;-187,429;522,375;No record
Gorfynt;-233,620;488,928;No record
Guldra;114,417;-461,156;No record
Hawktor;450,702;-333,110;No record
Heathville;-509,832;91,851;No record
Hegel;-239,883;126,151;No record
Heliat;124,233;-485,739;No record
Herat;200,136;-185,658;No record
Hergazil;646,511;130,509;No record
Hiberius;-513,023;65,019;No record
Hirtshals;-329,067;507,801;No record
Tincalunas;42,347;-432,173;No record
Ichlangis;101,656;-401,216;No record
Ife;71,485;-288,139;No record
Illium;-207,376;439,225;No record
Ilmar;48,803;-170,535;No record
Indrapurai;-539,365;176,882;No record
Ingvolstand;-153,297;570,181;No record
Isfahan;163,233;460,221;No record
Juniper;9,735;131,747;No record
Kaufermann;405,802;-100,734;No record
Kautokeino;241,744;-311,819;No record
Kimi;51,853;-410,668;No record
Kola;-265,491;439,573;No record
Korvitz;336,409;-100,734;No record
Koskenkorva;-214,392;474,350;No record
Krakatau;54,902;-344,937;No record
Kupang (RWR);-499,069;262,606;No record
La Ligua;754,018;222,388;No record
Lamar;14,737;266,678;No record
Las Tunas;693,400;269,407;No record
Linden;737,651;261,963;No record
Lockdale;40,275;2,570;No record
Logres;-317,919;175,646;No record
Lone Star;-4,656;50,416;No record
Maison;332,974;-112,875;No record
Manaus;-152,611;-361,226;No record
Mandeville;700,395;196,157;No record
Mangzhangdian;111,940;-433,681;No record
Mao;-355,738;456,940;No record
Mauna Loa;1.025,684;-119,064;No record
Mayenne;-547,119;241,556;No record
McEvedy's Folly;-408,060;-493,992;No record
Mechdur;112,420;-423,345;No record
Meinhof;196,245;-147,837;No record
Merdal;91,895;-390,707;No record
Mickleover;-474,103;358,896;No record
Midthun;74,400;-384,040;No record
Monthey;-504,792;53,376;No record
Muroto;212,518;182,926;No record
Muswell;35,241;289,645;No record
Inglesmond;33,896;33,940;No record
New Crete;39,825;-200,511;No record
Nis;249,839;-187,993;No record
Nito;-557,011;226,976;No record
Noh-wan Hohm;155,019;-178,376;No record
Nouveau Toulouse;284,343;60,729;No record
Nyasa;-413,731;394,298;No record
Osumi;74,109;138,808;No record
Ourem;658,885;293,361;No record
Panzyr;86,771;-429,617;No record
Paran;-205,280;548,708;No record
Pasemah;-513,090;180,875;No record
Pietermaritzburg;193,954;-288,536;No record
Pilon;778,425;199,976;No record
Pressville;-550,938;335,753;No record
Pula;269,227;-230,898;No record
Quines;725,824;238,054;No record
Rest Stop;801,109;326,716;No record
Runrig;48,925;-217,144;No record
Richmond's World (Murrain 3025+);895,407;28,757;No record
Rocky;-16,688;24,716;No record
Rondon;714,670;134,508;No record
Rover;822,594;207,382;No record
Rim Worlds Republic Outpost 11;777,331;-1.437,093;No record
Rim Worlds Republic Outpost 4;1.720,562;424,575;No record
Rim Worlds Republic Outpost 7;1.628,391;-73,441;No record
Salvende;640,213;278,418;No record
Santa-Ana;668,724;200,815;No record
Sendai;62,142;166,422;No record
Shady Palms;801,658;-161,823;Independent world
Shira;700,522;236,500;No record
Siendou;-113,990;-291,701;Free Worlds League
Sileste;-535,337;314,399;No record
