SARNA.NET PATH	PLANET NAME	COORDINATES	SARNA.NET OVERHAUL PHASE	3025 AFFILIATION	REMARKS
/wiki/A_Place	A Place	-123.76:272.18	5	Lyran Commonwealth	
/wiki/Aalzorg	Aalzorg	583.88:256.93	5	No Record	
/wiki/Abadan	Abadan	-70.32:-95.95	5	Free Worlds League	
/wiki/Abagnar	Abagnar	380.23:317.82	5	Draconis Combine	
/wiki/Abbadiyah	Abbadiyah	-317.97:246.55	5	Lyran Commonwealth	
/wiki/Abbeville	Abbeville	605.90:-39.85	5	Federated Suns	
/wiki/Abejorral	Abejorral	-299.34:127.38	5	Lyran Commonwealth	
/wiki/Aberystwyth	Aberystwyth	-430.97:58.63	5	Lyran Commonwealth	
/wiki/Abiy_Adi	Abiy Adi	349.47:314.57	5	Draconis Combine	
/wiki/Able%27s_Glory	Able's Glory	-539.27:124.68	5	No record	
/wiki/Aboukir	Aboukir	-419.96:287.64	5	No record	
/wiki/Abramkovo	Abramkovo	-330.86:-28.74	5	Lyran Commonwealth	
/wiki/Abruzzi	Abruzzi	149.39:-304.33	5	Federated Suns	
/wiki/Abushiri	Abushiri	-267.59:326.48	5	No record	
/wiki/Acala	Acala	134.16:-124.34	5	Federated Suns	
/wiki/Acamar	Acamar	39.54:-38.57	5	Capellan Confederation	
/wiki/Accrington	Accrington	-10.09:144.97	5	Lyran Commonwealth	
/wiki/Achilles_(CC)	Achilles (CC)	44.85:-132.08	5	No record	
/wiki/Achnoly	Achnoly	638.82:199.14	5	No record	
/wiki/Achton	Achton	632.32:190.92	5	No record	
/wiki/Achtur	Achtur	43.55:-421.53	5	No record	
/wiki/Acoma	Acoma	224.42:-62.26	5	No record	
/wiki/Aconcagua	Aconcagua	-275.03:-189.63	5	Free Worlds League	
/wiki/Acrux	Acrux	-352.03:40.75	5	Lyran Commonwealth	
/wiki/Acubens	Acubens	-52.22:-50.72	5	Free Worlds League	
/wiki/Ad_Duwayd	Ad Duwayd	361.88:374.51	5	Draconis Combine	
/wiki/Addasar	Addasar	-29.44:-516.52	5	Magistracy of Canopus	
/wiki/Addhara	Addhara	-443.66:-293.42	5	Marian Hegemony	
/wiki/Addicks	Addicks	71.44:-0.70	5	Federated Suns	
/wiki/Adelaide	Adelaide	-250.47:315.32	5	Lyran Commonwealth	
/wiki/Adelson	Adelson	472.77:-245.35	5	Federated Suns	
/wiki/Adhafera	Adhafera	-105.28:-51.23	5	Free Worlds League	
/wiki/Adherlwin	Adherlwin	-134.30:-418.68	5	Magistracy of Canopus	
/wiki/Adler	Adler	155.26:-210.67	5	No record	
/wiki/Adrar	Adrar	-4.38:-409.23	5	No record	
/wiki/Adrian	Adrian	449.25:28.13	5	Federated Suns	
/wiki/Aea	Aea	156.05:-426.17	5	No record	
/wiki/Afarsin	Afarsin	-216.31:-369.87	5	Magistracy of Canopus	
/wiki/Afleir	Afleir	-51.28:-2.98	5	No record	
/wiki/Agematsu	Agematsu	253.84:185.55	5	Draconis Combine	
/wiki/Aggstein	Aggstein	219.61:-203.11	5	No record	
/wiki/Agliana	Agliana	389.81:-289.56	5	Federated Suns	
/wiki/Aigle	Aigle	-234.77:-19.07	5	No record	
/wiki/Aiguebelle	Aiguebelle	-384.88:101.54	5	Lyran Commonwealth	
/wiki/Aitutaki	Aitutaki	-164.64:-166.56	5	Free Worlds League	
/wiki/Aix-la-Chapelle	Aix-la-Chapelle	76.60:162.63	5	Draconis Combine	
/wiki/Akfata	Akfata	-381.80:176.25	5	Lyran Commonwealth	
/wiki/Al_Hillah	Al Hillah	-25.37:178.71	5	Draconis Combine	
/wiki/Al_Jafr	Al Jafr	-412.83:12.11	5	Lyran Commonwealth	
/wiki/Al_Jubaylah	Al Jubaylah	-183.76:-281.83	5	Free Worlds League	
/wiki/Al_Na%27ir	Al Na'ir	60.10:31.24	5	Draconis Combine	
/wiki/Alarion	Alarion	-319.71:138.60	5	Lyran Commonwealth	
/wiki/Albalii	Albalii	71.08:78.53	5	Draconis Combine	
/wiki/Albaracht	Albaracht	492.56:-458.27	5	No record	
/wiki/Albert_Falls	Albert Falls	-259.83:-132.29	5	Free Worlds League	
/wiki/Albiero	Albiero	150.45:356.78	5	Draconis Combine	
/wiki/Albion_(Clan)	Albion (Clan)	-50.20:1790.73	5	Clan Burrock	
/wiki/Albion_(LC)	Albion (LC)	-284.43:143.52	5	No record	
/wiki/Alchiba	Alchiba	-67.73:1.77	5	Lyran Commonwealth	
/wiki/Alcor	Alcor	-74.71:28.90	5	Lyran Commonwealth	
/wiki/Alcyone	Alcyone	129.76:-197.58	5	Federated Suns	
/wiki/Aldebaran	Aldebaran	24.81:-64.41	5	Capellan Confederation	
/wiki/Aldertaine	Aldertaine	44.71:-191.04	5	Capellan Confederation	
/wiki/Aldrecht	Aldrecht	150.83:88.19	5	No record	
/wiki/Alegro	Alegro	429.84:144.62	5	Outworlds Alliance	
/wiki/Alekseyvka	Alekseyvka	-403.50:183.74	5	Lyran Commonwealth	
/wiki/Alexandria_(CC)	Alexandria (CC)	110.83:-356.10	5	No record	
/wiki/Alexandria_(LC)	Alexandria (LC)	-57.64:115.99	5	Lyran Commonwealth	
/wiki/Alfirk	Alfirk	588.60:457.17	5	Independent world	
/wiki/Algate	Algate	323.63:378.13	5	Draconis Combine	
/wiki/Algedi	Algedi	66.07:94.94	5	Draconis Combine	
/wiki/Algenib	Algenib	-438.60:-379.18	5	Marian Hegemony	
/wiki/Algol	Algol	64.88:-67.77	5	Capellan Confederation	
/wiki/Algorab	Algorab	-114.84:13.77	5	Lyran Commonwealth	
/wiki/Algot	Algot	85.82:-82.77	5	Federated Suns	
/wiki/Alhena	Alhena	-82.47:-14.52	5	Free Worlds League	
/wiki/Alioth	Alioth	-58.94:13.91	5	Lyran Commonwealth	
/wiki/Alkaid	Alkaid	-94.10:47.00	5	Lyran Commonwealth	
/wiki/Alkalurops	Alkalurops	-35.94:45.19	5	Lyran Commonwealth	
/wiki/Alkes	Alkes	-114.78:-30.81	5	Free Worlds League	
/wiki/Alktral	Alktral	724.38:250.53	5	No record	
/wiki/All_Dawn	All Dawn	-459.31:154.02	5	Independent world	
/wiki/Alleghe	Alleghe	-9.84:406.05	5	Draconis Combine	
/wiki/Allerton	Allerton	263.40:7.19	5	Federated Suns	
/wiki/Alma_Alta	Alma Alta	-183.57:186.07	5	Lyran Commonwealth	
/wiki/Almach	Almach	100.80:-61.57	5	Federated Suns	
/wiki/Almunge	Almunge	163.62:397.00	5	Draconis Combine	
/wiki/Alnadal	Alnadal	157.31:20.19	5	No record	
/wiki/Alnasl	Alnasl	2.84:116.02	5	Draconis Combine	
/wiki/Alorton	Alorton	-353.64:-85.87	5	Free Worlds League	
/wiki/Alpha_Eridani	Alpha Eridani	77.29:-32.36	5	Capellan Confederation	
/wiki/Alphard_(FWL)	Alphard (FWL)	-65.40:-52.00	5	Free Worlds League	
/wiki/Alphard_(MH)	Alphard (MH)	-406.22:-298.38	5	Marian Hegemony	
/wiki/Alphecca	Alphecca	-46.78:61.98	5	Lyran Commonwealth	
/wiki/Alpheratz	Alpheratz	502.78:152.89	5	Outworlds Alliance	
/wiki/Alrakis	Alrakis	-19.91:81.89	5	Draconis Combine	
/wiki/Alrescha	Alrescha	84.52:-49.42	5	Capellan Confederation	
/wiki/Alsek	Alsek	315.62:-238.12	5	Federated Suns	
/wiki/Alshain	Alshain	58.34:278.85	5	Draconis Combine	
/wiki/Alta	Alta	-191.25:-218.100	5	No record	
/wiki/Alta_Vista	Alta Vista	506.64:12.88	5	Federated Suns	
/wiki/Altair	Altair	8.84:13.75	5	Draconis Combine	
/wiki/Altais	Altais	37.22:109.81	5	Draconis Combine	
/wiki/Altdorf	Altdorf	333.19:119.37	5	Draconis Combine	
/wiki/Altenmarkt	Altenmarkt	13.69:223.81	5	Draconis Combine	
/wiki/Alterf	Alterf	-203.99:-154.87	5	Free Worlds League	
/wiki/Althastan	Althastan	-432.45:-26.15	5	Lyran Commonwealth	
/wiki/Althea%27s_Choice	Althea's Choice	380.17:-340.19	5	Taurian Concordat	
/wiki/Alto	Alto	106.48:-194.18	5	No record	
/wiki/Altona	Altona	283.55:421.58	5	Draconis Combine	
/wiki/Altoona_(FS)	Altoona (FS)	550.57:-4.18	5	Federated Suns	
/wiki/Altoona_(LC)	Altoona (LC)	-256.61:-6.27	5	No record	
/wiki/Altorra	Altorra	-2.85:-263.50	5	Capellan Confederation	
/wiki/Alula_Borealis	Alula Borealis	-259.00:-54.08	5	Free Worlds League	
/wiki/Alya	Alya	26.36:96.63	5	Draconis Combine	
/wiki/Alyina	Alyina	-134.91:340.91	5	Lyran Commonwealth	
/wiki/Ambatomainty	Ambatomainty	701.41:175.02	5	No record	
/wiki/Amber	Amber	281.99:-377.92	5	No record	
/wiki/Amber_Grove	Amber Grove	272.88:-362.39	5	Taurian Concordat	
/wiki/Ambergrist	Ambergrist	83.48:-257.55	5	Capellan Confederation	
/wiki/Ambrose	Ambrose	-226.18:427.52	5	No record	
/wiki/Amiga	Amiga	165.17:-84.57	5	Federated Suns	
/wiki/Amity	Amity	-128.96:-30.81	5	Free Worlds League	
/wiki/Amminadav	Amminadav	-411.25:199.52	5	Lyran Commonwealth	
/wiki/Ammon_(OA)	Ammon (OA)	624.27:213.18	5	No record	
/wiki/Amu_Darya	Amu Darya	33.41:-338.23	5	No record	
/wiki/An_Ting	An Ting	301.65:109.81	5	Draconis Combine	
/wiki/Anaea	Anaea	141.28:-115.62	5	No record	
/wiki/Anaheim	Anaheim	299.33:-311.76	5	Federated Suns	
/wiki/Ancha	Ancha	75.47:36.14	5	Draconis Combine	
/wiki/Andalusia	Andalusia	391.34:-109.17	5	Federated Suns	
/wiki/Andarmax	Andarmax	-3.38:-386.49	5	Capellan Confederation	
/wiki/Andelys	Andelys	455.04:-58.52	5	No record	
/wiki/Andiron	Andiron	-424.48:-47.39	5	Circinus Federation	
/wiki/Andro	Andro	144.75:-173.00	5	Federated Suns	
/wiki/Andurien	Andurien	-41.34:-315.25	5	Free Worlds League	
/wiki/Anegasaki	Anegasaki	-49.38:-216.71	5	Free Worlds League	
/wiki/Anembo	Anembo	-288.73:314.79	5	Lyran Commonwealth	
/wiki/Angell	Angell	-98.23:-84.06	5	Free Worlds League	
/wiki/Angelsey	Angelsey	124.22:-88.22	5	No record	
/wiki/Angol	Angol	87.88:-38.82	5	Federated Suns	
/wiki/Angra	Angra	390.62:-361.19	5	No record	
