SARNA.NET PATH	PLANET NAME	COORDINATES	3025 AFFILIATION
/wiki/A_Place	A Place	-123.76:272.18	Lyran Commonwealth
/wiki/Aalzorg	Aalzorg	583.88:256.93	No record
/wiki/Abadan	Abadan	-70.32:-95.95	Free Worlds League
/wiki/Abagnar	Abagnar	380.23:314.82	Draconis Combine
/wiki/Abbadiyah	Abbadiyah	-317.97:246.55	Lyran Commonwealth
/wiki/Abbeville	Abbeville	605.90:-39.85	Federated Suns
/wiki/Abejorral	Abejorral	-299.34:127.38	Lyran Commonwealth
/wiki/Aberystwyth	Aberystwyth	-430.97:58.63	Lyran Commonwealth
/wiki/Abiy_Adi	Abiy Adi	349.46:314.56	Draconis Combine
/wiki/Able%27s_Glory	Able's Glory	-539.27:124.68	No record
/wiki/Aboukir	Aboukir	-419.96:287.64	No record
/wiki/Abramkovo	Abramkovo	-330.86:-28.74	Lyran Commonwealth
/wiki/Abruzzi	Abruzzi	149.39:-304.33	Federated Suns
/wiki/Abushiri	Abushiri	-267.59:326.48	No record
/wiki/Acala	Acala	134.16:-124.34	Federated Suns
/wiki/Acamar	Acamar	39.54:-38.57	Capellan Confederation
/wiki/Accrington	Accrington	-10.09:144.97	Lyran Commonwealth
/wiki/Achilles_(CC)	Achilles (CC)	44.85:-132.08	No record
/wiki/Achnoly	Achnoly	638.82:199.14	No record
/wiki/Achton	Achton	632.32:190.92	No record
/wiki/Achtur	Achtur	43.55:-421.53	No record
/wiki/Acoma	Acoma	224.42:-62.26	No record
/wiki/Aconcagua	Aconcagua	-275.03:-189.63	Free Worlds League
/wiki/Acrux	Acrux	-352.03:40.75	Lyran Commonwealth
/wiki/Acubens	Acubens	-52.22:-50.72	Free Worlds League
/wiki/Ad_Duwayd	Ad Duwayd	361.88:374.51	Draconis Combine
/wiki/Addasar	Addasar	-29.44:-516.52	Magistracy of Canopus
/wiki/Addhara	Addhara	-443.66:-293.42	Marian Hegemony
/wiki/Addicks	Addicks	71.43:-0.69	Federated Suns
/wiki/Adelaide	Adelaide	-250.47:315.32	Lyran Commonwealth
/wiki/Adelson	Adelson	472.77:-245.35	Federated Suns
/wiki/Adhafera	Adhafera	-105.28:-51.23	Free Worlds League
/wiki/Adherlwin	Adherlwin	-134.30:-418.68	Magistracy of Canopus
/wiki/Adler	Adler	155.26:-210.67	No record
/wiki/Adrar	Adrar	-4.38:-409.23	No record
/wiki/Adrian	Adrian	449.25:28.13	Federated Suns
/wiki/Aea	Aea	156.05:-426.17	Aurigan Coalition
/wiki/Afarsin	Afarsin	-216.31:-369.87	Magistracy of Canopus
/wiki/Afleir	Afleir	-51.28:-2.98	No record
/wiki/Agematsu	Agematsu	253.83:185.54	Draconis Combine
/wiki/Aggstein	Aggstein	219.61:-203.11	No record
/wiki/Agliana	Agliana	389.81:-289.56	Federated Suns
/wiki/Aigle	Aigle	-234.77:-19.07	No record
/wiki/Aiguebelle	Aiguebelle	-384.88:101.54	Lyran Commonwealth
/wiki/Aitutaki	Aitutaki	-164.64:-166.56	Free Worlds League
/wiki/Aix-la-Chapelle	Aix-la-Chapelle	76.59:162.62	Draconis Combine
/wiki/Akfata	Akfata	-381.80:176.25	Lyran Commonwealth
/wiki/Al_Hillah	Al Hillah	-25.37:178.71	Draconis Combine
/wiki/Al_Jafr	Al Jafr	-412.83:12.11	Lyran Commonwealth
/wiki/Al_Jubaylah	Al Jubaylah	-183.76:-281.83	Free Worlds League
/wiki/Al_Na%27ir	Al Na'ir	60.09:31.23	Draconis Combine
/wiki/Alarion	Alarion	-319.71:138.60	Lyran Commonwealth
/wiki/Albalii	Albalii	71.07:78.53	Draconis Combine
/wiki/Albaracht	Albaracht	492.56:-458.27	No record
/wiki/Albert_Falls	Albert Falls	-259.83:-132.29	Free Worlds League
/wiki/Albiero	Albiero	150.44:356.78	Draconis Combine
/wiki/Albion_(Clan)	Albion (Clan)	-50.20:1790.73	Clans
/wiki/Albion_(LC)	Albion (LC)	-284.43:143.52	No record
/wiki/Alchiba	Alchiba	-67.73:1.77	Lyran Commonwealth
/wiki/Alcor	Alcor	-74.71:28.90	Lyran Commonwealth
/wiki/Alcyone	Alcyone	129.76:-197.58	Federated Suns
/wiki/Aldebaran	Aldebaran	24.81:-64.41	Capellan Confederation
/wiki/Aldertaine	Aldertaine	44.71:-191.04	Capellan Confederation
/wiki/Aldrecht	Aldrecht	150.83:88.19	No record
/wiki/Alegro	Alegro	429.84:144.62	Outworlds Alliance
/wiki/Alekseyvka	Alekseyvka	-403.50:183.74	Lyran Commonwealth
/wiki/Alexandria_(CC)	Alexandria (CC)	110.83:-356.10	No record
/wiki/Alexandria_(LC)	Alexandria (LC)	-57.64:115.99	Lyran Commonwealth
/wiki/Alfirk	Alfirk	588.60:457.17	Hidden system
/wiki/Algate	Algate	323.62:378.12	Draconis Combine
/wiki/Algedi	Algedi	66.07:94.93	Draconis Combine
/wiki/Algenib	Algenib	-438.60:-379.18	Marian Hegemony
/wiki/Algol	Algol	64.88:-67.77	Capellan Confederation
